party,partyabbrev,year,edate,date,pervote,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,perH,total
41320,SPD,1990,1990-12-02,199012,33.46,0,0,0,0,0.38,6.844,0.38,4.183,1.901,0,0,0.38,2.662,0,0,0.38,0,2.662,0.38,2.281,0,2.662,4.943000000000001,0,0.38,0,0,2.281,0,0,6.844,0,0,0,0,0,22.814,0.38,5.703,4.943000000000001,0,0.76,0,0,0.38,0,0,0,0.38,0.38,0,12.548,0,2.281,0,2.662,7.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41521,CDU/CSU,1990,1990-12-02,199012,43.821,0,0.658,0,0,0.658,1.316,1.316,7.895,5.263,0,0,0.658,1.316,2.632,0,0,0,0,1.316,0.658,1.316,0.658,3.947,0,0,0,0,0,0,0,13.158,0,0,0,0,0,13.158,1.974,0.658,11.184,0,1.974,0,1.316,0,6.579,0,3.947,1.974,0,0,1.316,0,3.947,1.316,0,7.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41320,SPD,1994,1994-10-16,199410,36.387,0,0.66,0,0,0.66,0.66,0.33,3.63,2.97,0,0,0.66,1.65,0.33,0,0.66,0,3.3,0,1.98,0,2.64,4.62,0,0,0,0.33,3.96,0,0,9.901,0,0,0.66,0,0,15.512,2.64,6.601,11.221,0,0.99,0,0.33,0,0.33,0.33,3.63,0,0.33,0,6.601,0,2.64,0.33,0.33,8.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41521,CDU/CSU,1994,1994-10-16,199410,41.44,0,1.087,0,0,1.812,0,0,2.536,5.072,0,0,0,0,0.362,0,0,0,2.899,0,0.725,1.449,7.609,5.797,0,0,0,0,2.899,0,1.087,9.42,0,0,0.725,0,0,7.246,0,1.087,1.812,1.087,1.087,0.362,1.449,0,6.884,0,15.217,3.986,0,0,3.261,0,5.435,0.725,0.725,6.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41320,SPD,1998,1998-09-27,199809,40.929,1.804,0,0,0,1.202,0.501,0.7010000000000001,1.603,1.603,0,0,1.102,1.403,0,0,0.601,0,5.01,0,2.204,1.202,4.91,2.906,1.202,1.102,0,0.1,5.511,0.401,3.206,6.413,0,0,1.804,0,1.503,3.006,3.206,5.711,7.214,2.705,3.407,0,1.303,0,2.104,0,4.309,3.106,0.501,0.301,8.717,0.301,1.102,0.501,1.303,3.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41521,CDU/CSU,1998,1998-09-27,199809,35.145,0.882,0.353,0,0,4.586,0,0.353,1.058,2.116,0,0.529,0.705,1.235,0.353,0,4.409,0,5.291,0,0.705,3.351,3.88,0.705,0.353,0.353,0.353,0,4.233,0,7.407,6.702,0,0,1.587,0,0.529,2.293,0.705,1.058,4.586,1.94,1.058,0,3.88,0,3.88,0,9.877,4.762,1.411,3.175,4.938,0.705,3.175,0,0,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41320,SPD,2002,2002-09-22,200209,38.521,1.18,0.124,0,0,2.298,0.435,0.932,3.292,2.112,0,0.124,1.429,1.553,0.124,0,1.18,0.124,8.882,0.683,6.273,0.124,2.484,3.54,1.056,0.745,0.124,0.497,3.106,0.186,0.745,10.062,0.124,0.124,1.304,0,1.118,1.615,2.547,4.286,4.783,0.683,4.41,0,1.739,0.559,1.801,0.373,4.286,5.466,0.311,0.621,4.037,0.248,1.118,0.435,1.118,3.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41521,CDU/CSU,2002,2002-09-22,200209,38.5,1.673,1.369,0,0,4.791,0.076,0.152,1.825,1.217,0,0.684,0.989,0.837,0.076,0,3.118,0.076,8.137,0,6.312,1.445,3.65,3.042,0.608,0.152,0,0.076,1.825,0,0.989,6.92,0,0.076,1.673,0,0.228,3.422,1.065,3.118,4.563,1.749,2.89,0,4.106,0,3.954,0.456,7.681,2.205,0.38,1.673,3.878,0.304,3.422,0.38,1.065,1.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41320,SPD,2005,2005-09-18,200509,34.247,0.227,0,0,0,0.34,0.5670000000000001,2.268,2.721,2.381,0,0.454,1.02,2.268,0,0,0.794,0.34,5.102,0.227,8.05,0.907,1.814,3.855,1.361,1.587,0,0,3.741,0,3.401,7.71,0.113,0,2.948,0,0,4.308,2.948,11.111,2.381,0.34,4.082,0,1.474,0.34,1.927,0.34,2.041,2.608,0.113,0.34,6.009,0.34,1.02,0,1.134,2.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41521,CDU/CSU,2005,2005-09-18,200509,35.17,0.515,0.772,0,0,1.802,0.129,0.129,2.445,2.445,0,2.445,0.644,0.515,0,0,1.158,0.515,13.771,0,9.91,5.792,2.96,3.475,0.257,0.644,0,0,6.049,0,1.931,5.534,0,0,5.277,0,0.129,2.96,1.03,3.475,1.802,0.257,0.901,0,1.802,0,5.534,0.129,2.445,2.188,0.129,0.772,3.346,0.644,1.287,0.129,0.772,1.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
